Id,Character,Decimal,Character,Hex
176,ጁ,4865,ጁ,1301
177,ጂ,4866,ጂ,1302
178,ጃ,4867,ጃ,1303
179,ጄ,4868,ጄ,1304
180,ጅ,4869,ጅ,1305
181,ጆ,4870,ጆ,1306
182,ገ,4872,ገ,1308
183,ጉ,4873,ጉ,1309
184,ጊ,4874,ጊ,130A
185,ጋ,4875,ጋ,130B
186,ጌ,4876,ጌ,130C
187,ግ,4877,ግ,130D
188,ጎ,4878,ጎ,130E
189,ጠ,4896,ጠ,1320
190,ጡ,4897,ጡ,1321
191,ጢ,4898,ጢ,1322
192,ጣ,4899,ጣ,1323
193,ጤ,4900,ጤ,1324
194,ጥ,4901,ጥ,1325
195,ጦ,4902,ጦ,1326
196,ጨ,4904,ጨ,1328
197,ጩ,4905,ጩ,1329
198,ጪ,4906,ጪ,132A
199,ጫ,4907,ጫ,132B
200,ጬ,4908,ጬ,132C
201,ጭ,4909,ጭ,132D
202,ጮ,4910,ጮ,132E
203,ጰ,4912,ጰ,1330
204,ጱ,4913,ጱ,1331
205,ጲ,4914,ጲ,1332
206,ጳ,4915,ጳ,1333
207,ጴ,4916,ጴ,1334
208,ጵ,4917,ጵ,1335
209,ጶ,4918,ጶ,1336
210,ጸ,4920,ጸ,1338
211,ጹ,4921,ጹ,1339
212,ጺ,4922,ጺ,133A
213,ጻ,4923,ጻ,133B
214,ጼ,4924,ጼ,133C
215,ጽ,4925,ጽ,133D
216,ጾ,4926,ጾ,133E
217,ፀ,4928,ፀ,1340
218,ፁ,4929,ፁ,1341
219,ፂ,4930,ፂ,1342
220,ፃ,4931,ፃ,1343
221,ፄ,4932,ፄ,1344
222,ፅ,4933,ፅ,1345
223,ፆ,4934,ፆ,1346
224,ፈ,4936,ፈ,1348
225,ፉ,4937,ፉ,1349
226,ፊ,4938,ፊ,134A
227,ፋ,4939,ፋ,134B
228,ፌ,4940,ፌ,134C
229,ፍ,4941,ፍ,134D
230,ፎ,4942,ፎ,134E
231,ፐ,4944,ፐ,1350
232,ፑ,4945,ፑ,1351
233,ፒ,4946,ፒ,1352
234,ፓ,4947,ፓ,1353
235,ፔ,4948,ፔ,1354
236,ፕ,4949,ፕ,1355
237,ፖ,4950,ፖ,1356
